,0
0,0.2722513282916419
1,0.3137657684576156
2,0.013898081201128454
3,0.17805028170754444
4,0.3080098167919325
5,0.5924513031510124
6,0.4421959787328573
7,0.02781563927855757
8,0.4538414483841857
9,0.4135399673735711
10,0.25899738884970036
11,0.19635837200999529
12,0.06847731737499174
13,0.10266664444444396
14,0.12872308489760553
15,0.03537728814158725
16,0.03303819837965394
17,0.24688159727846726
18,0.37835363389759724
19,-0.10473459650510675
20,0.05448946218358297
21,0.12357977956088084
22,1.0778072502210434
23,0.11598582955118264
24,0.3351498637602166
25,-0.1054328204154178
26,0.47720743326488724
27,0.2170494427418701
28,-0.1990209621523399
29,0.2355046086075656
30,0.17321747633384255
31,-0.002262488687781894
32,0.05612434371921382
33,-0.016522839838027825
34,-0.029634401674986655
35,0.6480190921759892
36,0.42837956002094746
37,0.3409091542453786
38,0.1483262615267984
39,0.27468753125000145
40,0.17662188935857603
41,-0.0960660332999812
42,0.10045317220543781
43,-0.014112823149709963
44,0.29578777336175954
45,0.5212090331444279
46,0.5358361774744023
47,0.17726189285714367
48,0.010182346386580887
49,0.3914567013815371
50,0.38515957127506684
51,0.06879606879606648
52,0.3746651119274793
53,0.31658439410128425
54,-0.012922432074222834
55,0.03962072334505229
56,0.2498020585906564
57,-0.052583462085299404
58,0.0926829268292686
59,0.20300268286562329
60,0.24106983021127082
61,0.09132095838107857
62,0.18047042733297136
63,0.1361702634676354
64,0.28404303319261404
65,-0.14436397672742352
66,-0.06405083669936451
67,-0.01837674834099079
68,0.17218744686287324
69,0.2062376472645111
70,0.06932692602432478
71,0.14534117250714274
72,0.1394882007029965
73,0.09678095735785774
74,0.23970373860330207
75,0.05292628841684355
76,0.21753516110902238
77,0.28806865236051515
78,0.3048599113386483
79,0.1851063829787225
80,0.2742883991996561
81,0.1234693877551043
82,0.2629953977870083
83,0.14011667667176275
84,0.007451664552989623
85,0.41154128560551273
86,0.16280414252607356
87,0.025084123734542718
88,0.14693887287704732
89,-0.15942549371633719
90,0.05783526441167952
91,0.4393361161825724
92,0.14230489420518233
93,-0.009595540560845883
94,0.13700558642038718
95,0.04230191930730243
96,0.23044858469113283
97,0.09903161976093156
98,0.17167588362587094
99,0.03843514070006626
100,0.07402858592930173
101,0.11609906706004702
102,-0.06750963947822075
103,0.14962966666666722
104,0.24926688491522886
105,0.18704195896354658
106,0.054856464274965155
107,0.005170157420466115
108,0.210727969348659
109,-0.05456567675755408
110,0.13847755707033182
111,0.10876125851758212
112,0.1941367689206268
113,-0.13398796325625573
114,-0.033783767696267675
115,-0.07267857142857137
116,0.03933803474394759
117,-0.0659530961231285
118,-0.312794427504988
119,-0.33207999194104343
120,-0.0035428585530647982
121,0.08934649592654575
122,-0.2599925105215416
123,-0.19482115874359962
124,-0.12480496944370745
125,-0.045570189551175755
126,-0.12494401528465027
127,-0.22634756452416938
128,0.03839967748527484
129,0.005174059205385273
130,0.22031632894384545
131,-0.022322333312142062
132,-0.13281849330899642
133,0.26846974747843433
134,-0.05411166272306578
135,0.011715864279195465
136,-0.12531414721723588
137,-0.0035461346260243776
138,-0.15077202543142598
139,-0.10540616250721913
140,0.054864669830024804
141,-0.19773179498363835
142,-0.14718848255756523
143,-0.29745885145637385
144,-0.03465265289296471
145,0.080664251456533
146,-0.3408799658265699
147,0.3207308272457956
148,-0.0985932068889167
149,-0.018824016895601203
150,-0.20630699480066605
151,0.019343407962496784
152,-0.13348870851080952
153,0.2924886290593458
154,-0.09096080029902309
155,0.2033654627539485
156,0.023132848645077253
157,0.25780651180502767
158,-0.09239307289897569
159,-0.14878934984962255
160,-0.14078611015508735
161,-0.2625870385090904
162,0.09475024814763344
163,-0.15505725930616698
164,-0.02193716263362866
165,0.11962028481012443
166,-0.10306242941880017
167,-0.10148380655797706
168,-0.16772628421817404
169,-0.038188816148390314
170,-0.13386978785661996
